"","CHEM_PARAMETER_NAME","CHEM_PARAMETER_FRACTION","CHEM_PARAMETER_UNIT","mean","sd","n","q95","q75","q25"
"211","TETRACHLOROBIPHENYL, 2,3,4,4'- (IUPAC 60)","TOTAL","pg/L",214.7,97.4220860849472,8,350.05,264.75,138.5
"212","TETRACHLOROBIPHENYL, 3,3',4,4'- (IUPAC 77)","TOTAL","pg/L",112.1125,40.6896770868063,8,160,138.75,80.525
"213","TETRACHLOROBIPHENYL, 3,3',4,5'- (IUPAC 79)","TOTAL","pg/L",14.655,11.4057967718174,8,32.6,16.625,8.95
"214","TETRACHLOROBIPHENYL, 3,3',4,5- (IUPAC 78)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"215","TETRACHLOROBIPHENYL, 3,3',5,5'- (IUPAC 80)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"216","TETRACHLOROBIPHENYL, 3,4,4',5- (IUPAC 81)","TOTAL","pg/L",2.30333333333333,1.13359310748316,8,3.421,2.705,1.655
"217","TETRACHLOROETHYLENE (PCE)","TOTAL","µg/L",NA,NA,107,NA,NA,NA
"218","TOTAL DISSOLVED SOLIDS","DISSOLVED","mg/L",241.931412894376,293.770198318201,2190,621.7,296,89
"219","TOTAL HEPTACHLOROBIPHENYLS","TOTAL","pg/L",769.25,361.437902194633,8,1285,961,537.5
"220","TOTAL HEXACHLOROBIPHENYLS","TOTAL","pg/L",2898.75,1320.4700191328,8,4850,3372.5,2097.5
"221","TOTAL PENTACHLOROBIPHENYLS","TOTAL","pg/L",10837.5,4664.40242689243,8,17380,12875,7615
"222","TOTAL SOLIDS","TOTAL","%",30.3,11.4191359859959,7,47.63,30.9,23.05
"223","TOTAL SOLIDS","TOTAL","mg/L",232.486806187443,200.823483554778,1100,629.1,293,98.5
"224","TOTAL SUSPENDED SOLIDS","TOTAL","mg/L",21.025903151422,89.9286713801717,1471,61.6,12.9,2.7
"225","TOTAL VOLATILE SOLIDS","TOTAL","mg/L",52.712580348944,37.2444606724347,1138,122,66,28
"226","TRICHLOROACETIC ACID","TOTAL","µg/L",NA,NA,48,NA,NA,NA
"227","TRICHLOROBIPHENYL","TOTAL","pg/L",25012.5,10136.5586580738,8,37470,32050,19050
"228","TRICHLOROBIPHENYL, 2',3,5- (IUPAC 34)","TOTAL","pg/L",62.7625,26.5479048137513,8,98.8,82,46.225
"229","TRICHLOROBIPHENYL, 2,2',3- (IUPAC 16)","TOTAL","pg/L",365.125,151.860309401201,8,559.9,464.25,305.25
"230","TRICHLOROBIPHENYL, 2,2',4- (IUPAC 17)","TOTAL","pg/L",3695,1425.35208682928,8,5374,4572.5,2725
"231","TRICHLOROBIPHENYL, 2,2',6- (IUPAC 19)","TOTAL","pg/L",3498.75,1439.50822455845,8,5428,4022.5,2765
"232","TRICHLOROBIPHENYL, 2,3',4- (IUPAC 25)","TOTAL","pg/L",1609.75,724.183629041301,8,2516,2235,1053.75
"233","TRICHLOROBIPHENYL, 2,3',6- (IUPAC 27)","TOTAL","pg/L",1802.875,696.68017616202,8,2641.5,2182.5,1395.75
"234","TRICHLOROBIPHENYL, 2,3,4'- (IUPAC 22)","TOTAL","pg/L",335.6375,194.476939047869,8,587.75,476.75,170.5
"235","TRICHLOROBIPHENYL, 2,3,5- (IUPAC 23)","TOTAL","pg/L",NA,NA,8,NA,NA,NA
"236","TRICHLOROBIPHENYL, 2,3,6- (IUPAC 24)","TOTAL","pg/L",14,NA,8,14,14,14
"237","TRICHLOROBIPHENYL, 2,4',5- (IUPAC 31)","TOTAL","pg/L",3388.75,1434.71687102369,8,5130,4535,2540
"238","TRICHLOROBIPHENYL, 2,4',6- (IUPAC 32)","TOTAL","pg/L",2007.25,875.908467168313,8,3072.5,2680,1426.75
"239","TRICHLOROBIPHENYL, 3,3',4- (IUPAC 35)","TOTAL","pg/L",9.45428571428571,4.64341417903844,8,16.2,10.9,6.35
"240","TRICHLOROBIPHENYL, 3,3',5- (IUPAC 36)","TOTAL","pg/L",14.025,11.7130625087265,8,27.455,20.075,5.5
"241","TRICHLOROBIPHENYL, 3,4',5- (IUPAC 39)","TOTAL","pg/L",17.3457142857143,7.9239696641327,8,28.45,19.75,13.85
"242","TRICHLOROBIPHENYL, 3,4,4'- (IUPAC 37)","TOTAL","pg/L",222.3,79.177774659307,8,323.75,255.75,182
"243","TRICHLOROBIPHENYL, 3,4,5- (IUPAC 38)","TOTAL","pg/L",18.1333333333333,19.5359497678852,8,37.2,26,7.2
"244","TRICHLOROETHYLENE (TCE)","TOTAL","µg/L",NA,NA,107,NA,NA,NA
"245","TURBIDITY","TOTAL","NTU",12.2201861360719,48.7358442256733,3152,37.025,8.8575,1.91
"246","UPPER BOUND PCB TEQ (WHO 2005)","TOTAL","pg/L",0.42425,0.257041269615823,8,0.79335,0.599,0.2325
"247","UV 254","TOTAL","1/cm",0.144551948051948,0.0507768327052428,77,0.2206,0.177,0.111
"248","VINYL CHLORIDE","TOTAL","µg/L",NA,NA,107,NA,NA,NA
"249","ZINC","DISSOLVED","µg/L",5.13708296296296,6.1285196925903,1583,13.11,5.4,2.5
"250","ZINC","TOTAL","µg/L",8.12870707656612,12.7942680931317,2486,26.085,7.8,2.9
